從,一,開,談,平,昨甘,dzam˧˧,,dzam˧˧
從,一,開,談,平,作三,dzam˧˧,改成精母,tsam˧˧
,,,,,,,,
透,四,開,齊,去,他計,tʰiɛi˧˩ ,,tʰiɛi˧˩ 
透,四,開,齊,去,丑戾,tʰiɛi˧˩ ,改成徹母,ʈʰiɛi˧˩ 
,,,,,,,,
昌,三,合,仙A,入,昌悅,cçʰyæt˥,,cçʰyæt˥
昌,三,合,仙A,入,殊雪,cçʰyæt˥,改成常母,ɟʝyæt˥
,,,,,,,,
滂,三,合,元,去,芳万,pʰʉan˧˩ ,,pʰʉan˧˩ 
滂,三,合,元,去,叉万,pʰʉan˧˩ ,改成初母,tʂʰʉan˧˩ 
,,,,,,,,
曉,三,合,廢,去,許穢,xʉæɿ˧˩ ,,xʉæɿ˧˩ 
曉,三,合,廢,去,呼吠？,xʉæɿ˧˩ ,改成疑母,ŋʉæɿ˧˩ 
,,,,,,,,
見,三,合,眞B,平,居筠,kʉɨn˧˧,,kʉɨn˧˧
見,三,合,諄,平,居勻,kʉɨn˧˧,改成眞A,kyɨn˧˧
,,,,,,,,
群,三,開,眞B,平,巨巾,gɨn˧˧,,gɨn˧˧
群,三,開,眞B,平,渠人,gɨn˧˧,改成眞A,gin˧˧
,,,,,,,,
知,二,開,麻,上,竹下,ʈʅa˨˦ ,,ʈʅa˨˦ 
知,二,開,麻,上,都賈,ʈʅa˨˦ ,改成端母,tʅa˨˦ 
,,,,,,,,
幫,二,開,佳,去,方賣,pʅɛ˧˩ ,,pʅɛ˧˩ 
幫,二,開,佳,去,方卦,pʅɛ˧˩ ,改成合口,pʯɛ˧˩ 
,,,,,,,,
幫,二,開,耕,平,布耕,pʅɛŋ˧˧,,pʅɛŋ˧˧
幫,二,開,耕,平,北萌,pʅɛŋ˧˧,改成合口,pʯɛŋ˧˧
,,,,,,,,
初,三,開,陽,上,初兩,tʂʰɨaŋ˨˦ ,,tʂʰɨaŋ˨˦ 
初,三,開,陽,上,初丈,tʂʰɨaŋ˨˦ ,改成合口,tʂʰʉaŋ˨˦ 
,,,,,,,,
清,一,合,泰,去,麤最,tsʰuæɿ˧˩ ,,tsʰuæɿ˧˩ 
清,一,合,泰,去,七外,tsʰuæɿ˧˩ ,改成邪母,zuæɿ˧˩ 
,,,,,,,,
滂,三,開,尤,上,芳婦,pʰɨu˨˦ ,,pʰɨu˨˦ 
滂,三,開,尤,上,芳否,pʰɨu˨˦ ,改成幽韻,pʰiu˨˦ 
,,,,,,,,
見,一,開,談,入,居盍,kap˥,,kap˥
見,一,開,談,入,古盍,kap˥,改成合口,kuap˥
,,,,,,,,
見,三,合,陽,上,俱往,kʉaŋ˨˦ ,,kʉaŋ˨˦ 
見,三,合,陽,上,居往,kʉaŋ˨˦ ,改成溪母,kʰʉaŋ˨˦ 
,,,,,,,,
曉,三,合,脂A,去,火季,xyi˧˩ ,,xyi˧˩ 
曉,三,合,脂A,去,香季,xyi˧˩ ,改成開口,xi˧˩ 
,,,,,,,,
匣,一,合,灰,去,胡對,ɣuai˧˩ ,,ɣuai˧˩ 
匣,一,合,灰,去,胡輩,ɣuai˧˩ ,改成四等,ɣyai˧˩ 
,,,,,,,,
以,一,開,咍,上,夷在,ʎai˨˦ ,,ʎai˨˦ 
以,一,開,咍,上,與改,ʎai˨˦ ,改成云母,ɨai˨˦ 
,,,,,,,,
見,四,開,添,去,紀念,kiam˧˩ ,,kiam˧˩ 
見,四,開,添,去,古念,kiam˧˩ ,改成合口,kyam˧˩ 
,,,,,,,,
影,一,開,覃,入,烏合,ʔɒp˥,,ʔɒp˥
影,一,開,覃,入,烏荅,ʔɒp˥,改成合口,ʔuɒp˥
,,,,,,,,
滂,一,開,咍,上,匹愷,pʰai˨˦ ,,pʰai˨˦ 
滂,一,開,咍,上,普乃,pʰai˨˦ ,改成幫母,pai˨˦ 
,,,,,,,,
溪,二,開,麻,平,苦加,kʰʅa˧˧,,kʰʅa˧˧
溪,二,開,麻,平,乞加,kʰʅa˧˧,改成一等,kʰa˧˧
,,,,,,,,
溪,二,開,刪,平,可顔,kʰʅan˧˧,,kʰʅan˧˧
溪,二,開,刪,平,丘姦,kʰʅan˧˧,改成曉母,xʅan˧˧
,,,,,,,,
溪,三,開,嚴,去,去劔,kʰɨam˧˩ ,,kʰɨam˧˩ 
溪,三,開,嚴,去,丘釅,kʰɨam˧˩ ,改成羣母,gɨam˧˩ 
,,,,,,,,
溪,三,開,之,平,去其,kʰɨ˧˧,,kʰɨ˧˧
溪,三,開,之,平,丘之,kʰɨ˧˧,改成匣母,ɣi˧˧
,,,,,,,,
溪,三,開,尤,平,去鳩,kʰɨu˧˧,,kʰɨu˧˧
溪,三,開,尤,平,去秋,kʰɨu˧˧,改成幽韻,kʰiu˧˧
,,,,,,,,
日,三,合,諄,上,而尹,ɲʉɨn˨˦ ,,ɲʉɨn˨˦ 
日,三,合,諄,上,而允,ɲʉɨn˨˦ ,改成文韻,ɲyən˨˦ 
,,,,,,,,
書,三,開,之,平,書之,çɨ˧˧,,çɨ˧˧
書,三,開,之,平,式其,çɨ˧˧,改成脂B,çɨi˧˧
,,,,,,,,
心,四,開,添,入,蘇協,siap˥,,siap˥
心,四,開,添,入,先頰,syap˥,改成合口,syap˥
,,,,,,,,
透,一,合,魂,入,他骨,tʰuot˥,,tʰuot˥
透,一,合,魂,入,土骨,tʰuot˥,改成開口,tʰot˥
,,,,,,,,
曉,三,合,諄,入,許聿,xʉɨt˥,,xʉɨt˥
曉,三,合,諄,入,況必,xʉɨt˥,改成溪母,kʰʉɨt˥
,,,,,,,,
崇,三,開,臻,入,崱瑟,dʐɨət˥,,dʐɨət˥
崇,三,開,臻,入,仕叱,dʐɨət˥,改成合口,dʐʉət˥
,,,,,,,,
章,三,開,鍾,上,之隴,cçʉoŋ˨˦ ,,cçɨoŋ˨˦ 
章,三,開,鍾,上,職勇,cçʉoŋ˨˦ ,改成合口,cçʉoŋ˨˦ 
,,,,,,,,
章,三,開,脂A,上,職雉,cçi˨˦ ,,cçi˨˦ 
章,三,開,脂A,上,止姊,cçi˨˦ ,改成脂B,cçɨi˨˦ 
,,,,,,,,
